id,MaxEval,MinEval,FinalEval,W<=10,W<=25,W<=50,W<=100,W<=200,W<=500,W>500,B<=10,B<=25,B<=50,B<=100,B<=200,B<=500,B>500,Wprojection,Bprojection,DifProjection
1533181,99999,-834,99999,13,7,6,7,3,1,0,19,8,5,3,4,0,1,4440,-3315,1125
1533862,153,-99998,-99998,8,3,1,3,0,2,2,13,3,2,2,1,0,0,1633,-11248,-9615
1534290,95,-828,-825,11,7,1,9,3,2,0,24,6,4,3,3,1,0,1510,-17168,-15658
1534971,84,-7,0,25,11,2,0,0,0,0,29,10,0,1,0,0,0,2370,-7,2363
1535651,100,-3,0,15,1,3,1,0,0,0,15,4,3,1,0,0,0,1577,-7,1570
1536106,123,-99990,-99990,18,9,6,5,3,3,1,30,5,7,3,3,1,0,1343,-24774,-23431
1536867,1014,-843,1014,12,3,10,5,6,2,1,15,9,7,6,5,4,1,32459,-1695,30764
1537618,71,-99997,-99997,6,6,3,2,2,1,1,9,6,3,1,3,0,0,1356,-5273,-3917
1538059,325,-768,-760,12,10,4,5,4,2,0,20,10,3,6,1,1,0,4365,-5758,-1393
1538739,1480,-78,1480,28,6,4,5,2,1,1,42,4,6,6,1,1,2,16062,-201,15861
1539648,187,-30,0,8,8,3,0,1,1,0,9,4,4,2,2,0,0,1595,-91,1504
1540093,712,-103,711,14,10,9,1,2,2,0,15,11,6,7,4,2,0,17229,-126,17103
1540812,259,-83,55,26,5,5,3,0,1,0,29,7,4,3,2,0,0,2882,-223,2659
1541526,962,19,962,10,3,2,2,1,0,0,11,2,5,2,1,0,1,5733,0,5733
1541973,71,-777,0,21,7,4,2,1,2,0,27,6,4,3,0,0,1,1230,-3263,-2033
1542673,937,17,937,10,10,3,0,0,0,0,12,3,7,4,1,1,0,24622,0,24622
1543223,81,-1470,-1417,13,9,9,9,3,0,1,30,7,5,5,3,0,0,1024,-40008,-38984
1544006,64,-1521,-1521,13,2,1,4,1,2,1,16,6,2,3,1,0,0,1344,-7790,-6446
1544530,66,-27,20,9,9,3,0,0,0,0,10,9,3,0,0,0,0,1385,-87,1298
1544984,257,-47,143,12,12,6,3,1,0,0,19,10,2,4,2,1,0,5590,-101,5489
1545630,86,-206,-7,18,3,2,7,1,0,0,20,4,5,7,0,0,0,984,-2673,-1689
1546242,246,-241,0,20,8,12,10,5,2,0,24,15,6,9,5,3,0,3353,-4220,-867
1547154,99999,-116,99999,12,7,5,2,2,2,1,18,5,6,4,7,1,2,31432,-458,30974
1547855,237,-1343,-1343,21,7,3,4,2,5,1,21,12,6,5,1,2,0,1792,-15166,-13374
